Count;Name;Edition;Collector Number;Rarity
1;Mind Stone;ha1;153;common
1;Ancestral Mask;ha2;229;common
1;Roar of the Wurm;ha3;266;uncommon
4;Lonely Sandbar;ha2;320;common
1;Tranquil Thicket;ha2;326;common
1;Forgotten Cave;ha2;317;common
1;Bonesplitter;ha4;146;common
4;One with Nothing;sok;84;rare
3;Glimpse the Unthinkable;ha6;208;rare
1;Coldsteel Heart;ha4;136;uncommon
1;Into the North;ha5;111;common
1;Momentary Blink;ha3;29;common
1;Imperious Perfect;ha1;220;uncommon
1;Merrow Reejerey;ha2;74;uncommon
4;Tendrils of Corruption;ha1;114;common
4;Soul Warden;ha1;34;common
1;Ornithopter;ha1;216;uncommon
1;Goblin Ruinblaster;ha2;127;uncommon
1;Dragonmaster Outcast;ha2;81;mythic
1;Treasure Hunt;ha1;42;common
4;Kiln Fiend;ha1;153;common
1;Goblin Gaveleer;ha4;92;common
1;Sword of Body and Mind;ha4;208;mythic
1;Timely Reinforcements;ha3;40;uncommon
1;Silent Departure;ha3;75;common
1;Ghost Quarter;ha2;240;uncommon
1;Hanna, Ship's Navigator;inv;249;rare
1;Simic Charm;ea3;195;uncommon
4;Burning-Tree Emissary;ha1;216;uncommon
4;Elvish Mystic;ea1;169;common
1;Battlewise Hoplite;ea1;189;uncommon
4;Nyx-Fleece Ram;ha2;18;uncommon
1;Brain Maggot;ha2;62;uncommon
1;Darksteel Citadel;ea1;242;uncommon
1;Brave the Sands;ktk;5;uncommon
1;Defiant Strike;ktk;7;common
1;War Behemoth;ktk;29;common
1;Glacial Stalker;ktk;41;common
2;Scion of Glaciers;ktk;53;uncommon
1;Set Adrift;ktk;54;uncommon
1;Treasure Cruise;ktk;59;common
1;Weave Fate;ktk;61;common
1;Whirlwind Adept;ktk;63;common
1;Bellowing Saddlebrute;ktk;64;uncommon
1;Dead Drop;ktk;67;uncommon
1;Ainok Tracker;ktk;96;common
1;Jeering Instigator;ktk;113;rare
1;Valley Dasher;ktk;125;common
1;Hooting Mandrills;ktk;137;common
1;Trail of Mystery;ktk;154;rare
1;Tusked Colossodon;ktk;155;common
1;Butcher of the Horde;ktk;168;rare
1;Efreet Weaponmaster;ktk;175;common
1;Ponyback Brigade;ktk;191;common
1;Jeskai Banner;ktk;222;common
1;Mardu Banner;ktk;224;common
1;Bloodfell Caves;ktk;229;common
1;Dismal Backwater;ktk;232;common
1;Mystic Monastery;ktk;236;uncommon
1;Virulent Plague;ha2;125;uncommon
4;Elvish Visionary;ha1;175;common
1;Ulamog, the Ceaseless Hunger;ha3;15;mythic
1;Thraben Inspector;ha4;44;common
4;Adanto Vanguard;xln;1;uncommon
2;Axis of Mortality;xln;3;mythic
1;Bellowing Aegisaur;xln;4;uncommon
1;Bishop of Rebirth;xln;5;rare
4;Bishop's Soldier;xln;6;common
4;Bright Reprisal;xln;7;uncommon
1;Duskborne Skymarcher;xln;9;uncommon
1;Emissary of Sunrise;xln;10;uncommon
1;Glorifier of Dusk;xln;12;uncommon
2;Goring Ceratops;xln;13;rare
3;Imperial Aerosaur;xln;14;uncommon
1;Imperial Lancer;xln;15;uncommon
2;Inspiring Cleric;xln;16;uncommon
4;Ixalan's Binding;xln;17;uncommon
1;Kinjalli's Caller;xln;18;common
2;Kinjalli's Sunwing;xln;19;rare
3;Legion Conquistador;xln;20;common
2;Looming Altisaur;xln;23;common
1;Mavren Fein, Dusk Apostle;xln;24;rare
4;Paladin of the Bloodstained;xln;25;common
1;Queen's Commission;xln;29;common
1;Rallying Roar;xln;30;uncommon
2;Settle the Wreckage;xln;34;rare
3;Sheltering Light;xln;35;uncommon
2;Shining Aerosaur;xln;36;common
1;Skyblade of the Legion;xln;37;common
1;Slash of Talons;xln;38;common
1;Steadfast Armasaur;xln;39;uncommon
2;Sunrise Seeker;xln;40;common
1;Territorial Hammerskull;xln;41;common
1;Tocatli Honor Guard;xln;42;rare
2;Vampire's Zeal;xln;43;common
1;Wakening Sun's Avatar;xln;44;mythic
2;Air Elemental;xln;45;uncommon
1;Cancel;xln;47;common
4;Chart a Course;xln;48;uncommon
1;Daring Saboteur;xln;49;rare
4;Deadeye Quartermaster;xln;50;uncommon
1;Deeproot Waters;xln;51;uncommon
1;Depths of Desire;xln;52;common
4;Dive Down;xln;53;common
1;Dreamcaller Siren;xln;54;rare
1;Entrancing Melody;xln;55;rare
4;Favorable Winds;xln;56;uncommon
1;Fleet Swallower;xln;57;rare
2;Headwater Sentries;xln;58;common
1;Herald of Secret Streams;xln;59;rare
1;Kopala, Warden of Waves;xln;61;rare
4;Lookout's Dispersal;xln;62;uncommon
1;Navigator's Ruin;xln;63;uncommon
1;One With the Wind;xln;64;common
1;Opt;xln;65;common
1;Overflowing Insight;xln;66;mythic
4;Perilous Voyage;xln;67;uncommon
1;Prosperous Pirates;xln;69;common
2;River Sneak;xln;70;uncommon
2;River's Rebuke;xln;71;rare
1;Run Aground;xln;72;common
1;Search for Azcanta;xln;74;rare
2;Shaper Apprentice;xln;75;common
4;Shipwreck Looter;xln;76;common
4;Siren Stormtamer;xln;79;uncommon
1;Siren's Ruse;xln;80;common
4;Spell Pierce;xln;81;common
2;Storm Fleet Aerialist;xln;83;uncommon
2;Storm Fleet Spy;xln;84;uncommon
2;Storm Sculptor;xln;85;common
4;Tempest Caller;xln;86;uncommon
4;Watertrap Weaver;xln;87;common
1;Arguel's Blood Fast;xln;90;rare
1;Bishop of the Bloodstained;xln;91;uncommon
3;Blight Keeper;xln;92;common
1;Boneyard Parley;xln;94;mythic
4;Costly Plunder;xln;96;common
3;Dark Nourishment;xln;97;uncommon
2;Deadeye Tracker;xln;99;rare
1;Deathless Ancient;xln;100;uncommon
1;Dire Fleet Hoarder;xln;102;common
1;Dire Fleet Ravager;xln;104;mythic
1;Duress;xln;105;common
1;Fathom Fleet Cutthroat;xln;107;common
2;Grim Captain's Call;xln;108;uncommon
1;Heartless Pillage;xln;109;uncommon
4;Kitesail Freebooter;xln;110;uncommon
1;Lurking Chupacabra;xln;111;uncommon
4;March of the Drowned;xln;112;common
2;Mark of the Vampire;xln;113;common
1;Queen's Agent;xln;114;common
2;Queen's Bay Soldier;xln;115;common
1;Raiders' Wake;xln;116;uncommon
3;Ruin Raider;xln;118;rare
4;Ruthless Knave;xln;119;uncommon
2;Sanctum Seeker;xln;120;rare
2;Seekers' Squire;xln;121;uncommon
3;Skittering Heartstopper;xln;122;common
4;Skulduggery;xln;123;common
4;Skymarch Bloodletter;xln;124;common
2;Spreading Rot;xln;125;common
3;Vanquish the Weak;xln;127;common
3;Vicious Conquistador;xln;128;uncommon
3;Vraska's Contempt;xln;129;rare
1;Walk the Plank;xln;130;uncommon
1;Wanted Scoundrels;xln;131;uncommon
1;Angrath's Marauders;xln;132;rare
2;Bonded Horncrest;xln;133;uncommon
3;Burning Sun's Avatar;xln;135;rare
1;Captain Lannery Storm;xln;136;rare
1;Captivating Crew;xln;137;rare
4;Charging Monstrosaur;xln;138;uncommon
4;Demolish;xln;139;common
1;Dinosaur Stampede;xln;140;uncommon
1;Fathom Fleet Firebrand;xln;142;common
1;Fiery Cannonade;xln;143;uncommon
2;Fire Shrine Keeper;xln;144;common
2;Frenzied Raptor;xln;146;common
4;Headstrong Brute;xln;147;common
1;Hijack;xln;148;common
4;Lightning Strike;xln;149;uncommon
2;Lightning-Rig Crew;xln;150;uncommon
1;Makeshift Munitions;xln;151;uncommon
2;Nest Robber;xln;152;common
1;Otepec Huntmaster;xln;153;uncommon
4;Raptor Hatchling;xln;155;uncommon
1;Repeating Barrage;xln;156;rare
2;Rigging Runner;xln;157;uncommon
1;Rile;xln;158;common
1;Rowdy Crew;xln;159;mythic
1;Rummaging Goblin;xln;160;common
1;Star of Extinction;xln;161;mythic
3;Storm Fleet Arsonist;xln;162;uncommon
2;Storm Fleet Pyromancer;xln;163;common
2;Sun-Crowned Hunters;xln;164;common
1;Sunbird's Invocation;xln;165;rare
3;Sure Strike;xln;166;common
1;Swashbuckling;xln;167;common
2;Tilonalli's Knight;xln;169;common
1;Tilonalli's Skinshifter;xln;170;rare
1;Trove of Temptation;xln;171;uncommon
1;Unfriendly Fire;xln;172;common
3;Wily Goblin;xln;174;uncommon
3;Ancient Brontodon;xln;175;common
2;Atzocan Archer;xln;176;uncommon
1;Blinding Fog;xln;177;common
1;Blossom Dryad;xln;178;common
1;Carnage Tyrant;xln;179;mythic
1;Colossal Dreadmaw;xln;180;common
1;Crash the Ramparts;xln;182;common
2;Crushing Canopy;xln;183;common
1;Deathgorge Scavenger;xln;184;rare
3;Deeproot Champion;xln;185;rare
3;Deeproot Warrior;xln;186;common
4;Drover of the Mighty;xln;187;uncommon
1;Emergent Growth;xln;188;uncommon
1;Emperor's Vanguard;xln;189;rare
1;Growing Rites of Itlimoc;xln;191;rare
2;Ixalli's Diviner;xln;192;common
4;Jade Guardian;xln;194;common
4;Kumena's Speaker;xln;196;uncommon
4;Merfolk Branchwalker;xln;197;uncommon
1;New Horizons;xln;198;common
3;Ranging Raptors;xln;201;uncommon
3;Ravenous Daggertooth;xln;202;common
3;Ripjaw Raptor;xln;203;rare
4;River Heralds' Boon;xln;204;common
1;Savage Stomp;xln;205;uncommon
3;Shapers' Sanctuary;xln;206;rare
1;Slice in Twain;xln;207;uncommon
2;Snapping Sailback;xln;208;uncommon
1;Spike-Tailed Ceratops;xln;209;common
4;Thundering Spineback;xln;210;uncommon
3;Tishana's Wayfinder;xln;211;common
2;Verdant Rebirth;xln;212;uncommon
3;Vineshaper Mystic;xln;214;uncommon
1;Waker of the Wilds;xln;215;rare
4;Wildgrowth Walker;xln;216;uncommon
1;Admiral Beckett Brass;xln;217;mythic
1;Belligerent Brontodon;xln;218;uncommon
4;Call to the Feast;xln;219;uncommon
2;Deadeye Plunderers;xln;220;uncommon
2;Dire Fleet Captain;xln;221;uncommon
1;Hostage Taker;xln;223;rare
2;Huatli, Warrior Poet;xln;224;mythic
1;Marauding Looter;xln;225;uncommon
1;Raging Swordtooth;xln;226;uncommon
2;Shapers of Nature;xln;228;uncommon
1;Sky Terror;xln;229;uncommon
1;Tishana, Voice of Thunder;xln;230;mythic
1;Vona, Butcher of Magan;xln;231;mythic
2;Vraska, Relic Seeker;xln;232;mythic
2;Dowsing Dagger;xln;235;rare
2;Dusk Legion Dreadnought;xln;236;uncommon
3;Elaborate Firecannon;xln;237;uncommon
3;Gilded Sentinel;xln;239;common
2;Hierophant's Chalice;xln;240;common
3;Pillar of Origins;xln;241;uncommon
2;Pirate's Cutlass;xln;242;common
1;Prying Blade;xln;244;common
1;Sentinel Totem;xln;245;uncommon
1;Sleek Schooner;xln;247;uncommon
1;Thaumatic Compass;xln;249;rare
1;Vanquisher's Banner;xln;251;rare
2;Dragonskull Summit;xln;252;rare
3;Drowned Catacomb;xln;253;rare
3;Field of Ruin;xln;254;uncommon
3;Glacial Fortress;xln;255;rare
4;Rootbound Crag;xln;256;rare
4;Sunpetal Grove;xln;257;rare
4;Unclaimed Territory;xln;258;uncommon
3;Unknown Shores;xln;259;common
1;Jace's Sentinel;xln;283;uncommon
1;Woodland Stream;xln;284;common
1;Huatli's Spurring;xln;287;uncommon
1;Stone Quarry;xln;289;common
2;Baffling End;rix;1;uncommon
1;Blazing Hope;rix;3;uncommon
2;Cleansing Ray;rix;4;common
2;Everdawn Champion;rix;6;uncommon
2;Exultant Skymarcher;rix;7;common
1;Famished Paladin;rix;8;uncommon
3;Forerunner of the Legion;rix;9;uncommon
1;Imperial Ceratops;rix;10;uncommon
1;Legion Conquistador;rix;11;common
4;Luminous Bonds;rix;12;common
1;Majestic Heliopterus;rix;13;uncommon
4;Martyr of Dusk;rix;14;common
2;Moment of Triumph;rix;15;common
2;Paladin of Atonement;rix;16;rare
1;Pride of Conquerors;rix;17;uncommon
3;Raptor Companion;rix;19;common
4;Skymarcher Aspirant;rix;21;uncommon
1;Slaughter the Strong;rix;22;rare
1;Snubhorn Sentry;rix;23;common
1;Squire's Devotion;rix;25;common
2;Sun-Crested Pterodon;rix;27;common
1;Temple Altisaur;rix;28;rare
2;Zetalpa, Primal Dawn;rix;30;rare
4;Aquatic Incursion;rix;32;uncommon
2;Crashing Tide;rix;34;common
4;Curious Obsession;rix;35;uncommon
4;Deadeye Rig-Hauler;rix;36;common
4;Expel from Orazca;rix;37;uncommon
2;Flood of Recollection;rix;38;uncommon
2;Hornswoggle;rix;39;uncommon
4;Kitesail Corsair;rix;41;common
4;Negate;rix;44;common
1;Nezahal, Primal Tide;rix;45;rare
3;River Darter;rix;47;common
1;Riverwise Augur;rix;48;uncommon
2;Sailor of Means;rix;49;common
1;Sea Legs;rix;50;common
1;Seafloor Oracle;rix;51;rare
1;Secrets of the Golden City;rix;52;common
4;Silvergill Adept;rix;53;uncommon
4;Siren Reaver;rix;54;uncommon
3;Slippery Scoundrel;rix;55;uncommon
1;Soul of the Rapids;rix;56;common
1;Spire Winder;rix;57;common
3;Waterknot;rix;61;common
2;Arterial Flow;rix;62;uncommon
4;Canal Monitor;rix;63;common
1;Champion of Dusk;rix;64;rare
4;Dark Inquiry;rix;65;common
1;Dead Man's Chest;rix;66;rare
2;Dire Fleet Poisoner;rix;68;rare
1;Dusk Charger;rix;69;common
4;Dusk Legion Zealot;rix;70;common
4;Fathom Fleet Boarder;rix;71;common
1;Forerunner of the Coalition;rix;72;uncommon
4;Golden Demise;rix;73;uncommon
4;Grasping Scoundrel;rix;74;common
3;Impale;rix;76;common
1;Mausoleum Harpy;rix;78;uncommon
3;Moment of Craving;rix;79;common
1;Oathsworn Vampire;rix;80;uncommon
2;Pitiless Plunderer;rix;81;uncommon
4;Ravenous Chupacabra;rix;82;uncommon
2;Reaver Ambush;rix;83;uncommon
4;Recover;rix;84;common
4;Sadistic Skymarcher;rix;85;uncommon
2;Tetzimoc, Primal Death;rix;86;rare
1;Tomb Robber;rix;87;rare
1;Twilight Prophet;rix;88;mythic
2;Vampire Revenant;rix;89;common
2;Vona's Hunger;rix;90;rare
1;Voracious Vampire;rix;91;common
2;Blood Sun;rix;92;rare
1;Bombard;rix;93;common
2;Buccaneer's Bravado;rix;96;common
3;Charging Tuskodon;rix;97;uncommon
2;Daring Buccaneer;rix;98;uncommon
1;Dire Fleet Daredevil;rix;99;rare
1;Etali, Primal Storm;rix;100;rare
3;Fanatical Firebrand;rix;101;common
1;Forerunner of the Empire;rix;102;uncommon
3;Form of the Dinosaur;rix;103;rare
1;Frilled Deathspitter;rix;104;common
4;Goblin Trailblazer;rix;105;common
1;Mutiny;rix;106;common
1;Needletooth Raptor;rix;107;uncommon
2;Orazca Raptor;rix;108;common
3;Pirate's Pillage;rix;109;uncommon
4;Reckless Rage;rix;110;uncommon
3;Rekindling Phoenix;rix;111;mythic
4;See Red;rix;112;uncommon
4;Shake the Foundations;rix;113;uncommon
1;Silverclad Ferocidons;rix;115;rare
3;Stampeding Horncrest;rix;116;common
3;Storm Fleet Swashbuckler;rix;117;uncommon
2;Sun-Collared Raptor;rix;118;common
2;Swaggering Corsair;rix;119;common
1;Aggressive Urge;rix;122;common
1;Cacophodon;rix;123;uncommon
2;Cherished Hatchling;rix;124;uncommon
1;Colossal Dreadmaw;rix;125;common
1;Crested Herdcaller;rix;126;uncommon
1;Deeproot Elite;rix;127;rare
1;Enter the Unknown;rix;128;uncommon
1;Forerunner of the Heralds;rix;129;uncommon
2;Ghalta, Primal Hunger;rix;130;rare
2;Giltgrove Stalker;rix;131;common
1;Hardy Veteran;rix;132;common
2;Hunt the Weak;rix;133;common
4;Jade Bearer;rix;134;common
1;Jadecraft Artisan;rix;135;common
4;Jadelight Ranger;rix;136;rare
4;Jungleborn Pioneer;rix;137;common
2;Knight of the Stampede;rix;138;common
1;Naturalize;rix;139;common
2;Orazca Frillback;rix;140;common
2;Overgrown Armasaur;rix;141;common
2;Path of Discovery;rix;142;rare
4;Plummet;rix;143;common
1;Strength of the Pack;rix;145;uncommon
1;Swift Warden;rix;146;uncommon
2;Tendershoot Dryad;rix;147;rare
3;Thrashing Brontodon;rix;148;uncommon
3;Thunderherd Migration;rix;149;uncommon
1;Wayward Swordtooth;rix;150;rare
1;Angrath, the Flame-Chained;rix;152;mythic
2;Atzocan Seer;rix;153;uncommon
1;Azor, the Lawbringer;rix;154;mythic
2;Deadeye Brawler;rix;155;uncommon
2;Dire Fleet Neckbreaker;rix;156;uncommon
1;Elenda, the Dusk Rose;rix;157;mythic
2;Hadana's Climb;rix;158;rare
1;Huatli, Radiant Champion;rix;159;mythic
1;Journey to Eternity;rix;160;rare
4;Jungle Creeper;rix;161;uncommon
1;Kumena, Tyrant of Orazca;rix;162;mythic
4;Legion Lieutenant;rix;163;uncommon
4;Merfolk Mistbinder;rix;164;uncommon
2;Raging Regisaur;rix;168;uncommon
2;Relentless Raptor;rix;169;uncommon
1;Resplendent Griffin;rix;170;uncommon
3;Siegehorn Ceratops;rix;171;rare
2;Storm Fleet Sprinter;rix;172;uncommon
2;Storm the Vault;rix;173;rare
1;Zacama, Primal Calamity;rix;174;mythic
2;Captain's Hook;rix;177;rare
2;Gleaming Barrier;rix;178;common
4;The Immortal Sun;rix;180;mythic
3;Strider Harness;rix;183;common
1;Traveler's Amulet;rix;184;common
4;Evolving Wilds;rix;186;common
1;Forsaken Sanctuary;rix;187;uncommon
2;Foul Orchard;rix;188;uncommon
2;Highland Lake;rix;189;uncommon
3;Stone Quarry;rix;190;uncommon
1;Woodland Stream;rix;191;uncommon
1;Vraska's Conquistador;rix;199;uncommon
1;Angrath's Ambusher;rix;202;uncommon
2;Swab Goblin;rix;203;common
1;Cinder Barrens;rix;205;common
2;Karn, Scion of Urza;dom;1;mythic
2;Adamant Will;dom;2;common
2;Aven Sentry;dom;3;common
1;Baird, Steward of Argive;dom;4;uncommon
3;Benalish Honor Guard;dom;5;common
1;Benalish Marshal;dom;6;rare
3;Blessed Light;dom;7;common
4;Board the Weatherlight;dom;8;uncommon
1;Call the Cavalry;dom;9;common
4;Charge;dom;10;common
1;D'Avenant Trapper;dom;11;common
4;Danitha Capashen, Paragon;dom;12;uncommon
1;Daring Archaeologist;dom;13;rare
4;Dauntless Bodyguard;dom;14;uncommon
2;Dub;dom;15;common
4;Excavation Elephant;dom;17;common
3;Gideon's Reproach;dom;19;common
1;Healing Grace;dom;20;common
4;History of Benalia;dom;21;mythic
4;Invoke the Divine;dom;22;common
4;Knight of Grace;dom;23;uncommon
2;Knight of New Benalia;dom;24;common
1;Kwende, Pride of Femeref;dom;25;uncommon
3;Lyra Dawnbringer;dom;26;mythic
3;Mesa Unicorn;dom;27;common
3;On Serra's Wings;dom;28;uncommon
3;Pegasus Courser;dom;29;common
3;Sanctum Spirit;dom;30;uncommon
3;Seal Away;dom;31;uncommon
1;Sergeant-at-Arms;dom;32;common
4;Serra Angel;dom;33;uncommon
3;Serra Disciple;dom;34;common
2;Shalai, Voice of Plenty;dom;35;rare
2;Teshar, Ancestor's Apostle;dom;36;rare
3;Triumph of Gerrard;dom;38;uncommon
1;Academy Drake;dom;40;common
1;Academy Journeymage;dom;41;common
1;The Antiquities War;dom;42;rare
4;Arcane Flight;dom;43;common
3;Artificer's Assistant;dom;44;common
2;Befuddle;dom;45;common
4;Blink of an Eye;dom;46;common
4;Curator's Ward;dom;49;uncommon
4;Deep Freeze;dom;50;common
3;Diligent Excavator;dom;51;uncommon
4;Divination;dom;52;common
3;Homarid Explorer;dom;53;common
3;In Bolas's Clutches;dom;54;uncommon
4;Merfolk Trickster;dom;56;uncommon
1;The Mirari Conjecture;dom;57;rare
4;Naban, Dean of Iteration;dom;58;rare
4;Naru Meha, Master Wizard;dom;59;mythic
4;Opt;dom;60;common
1;Precognition Field;dom;61;rare
4;Relic Runner;dom;62;common
2;Rescue;dom;63;common
1;Sage of Lat-Nam;dom;64;uncommon
3;Sentinel of the Pearl Trident;dom;65;uncommon
2;Slinn Voda, the Rising Deep;dom;66;uncommon
3;Syncopate;dom;67;common
1;Tempest Djinn;dom;68;rare
4;Tetsuko Umezawa, Fugitive;dom;69;uncommon
2;Time of Ice;dom;70;uncommon
1;Tolarian Scholar;dom;71;common
2;Unwind;dom;72;common
4;Vodalian Arcanist;dom;73;common
2;Weight of Memory;dom;74;uncommon
2;Wizard's Retort;dom;75;uncommon
3;Zahid, Djinn of the Lamp;dom;76;rare
3;Cabal Evangel;dom;78;common
3;Cabal Paladin;dom;79;common
4;Caligo Skin-Witch;dom;80;common
3;Cast Down;dom;81;uncommon
3;Chainer's Torment;dom;82;uncommon
1;Dark Bargain;dom;83;common
4;Deathbloom Thallid;dom;84;common
2;Demonic Vigor;dom;85;common
1;Demonlord Belzenlok;dom;86;mythic
4;Divest;dom;87;common
2;Drudge Sentinel;dom;89;common
4;The Eldest Reborn;dom;90;uncommon
1;Eviscerate;dom;91;common
4;Feral Abomination;dom;92;common
3;Final Parting;dom;93;uncommon
4;Fungal Infection;dom;94;common
2;Josu Vess, Lich Knight;dom;95;rare
1;Kazarov, Sengir Pureblood;dom;96;rare
4;Knight of Malice;dom;97;uncommon
3;Lingering Phantom;dom;99;uncommon
4;Rat Colony;dom;101;common
2;Rite of Belzenlok;dom;102;rare
4;Settle the Score;dom;103;uncommon
3;Soul Salvage;dom;104;common
1;Stronghold Confessor;dom;105;common
4;Thallid Omnivore;dom;106;common
2;Thallid Soothsayer;dom;107;uncommon
2;Torgaar, Famine Incarnate;dom;108;rare
3;Urgoros, the Empty One;dom;109;uncommon
4;Vicious Offering;dom;110;common
4;Whisper, Blood Liturgist;dom;111;uncommon
1;Windgrace Acolyte;dom;112;common
3;Yargle, Glutton of Urborg;dom;113;uncommon
1;Yawgmoth's Vile Offering;dom;114;rare
2;Bloodstone Goblin;dom;115;common
3;Champion of the Flame;dom;116;uncommon
4;Fervent Strike;dom;117;common
1;Fiery Intervention;dom;118;common
3;Fight with Fire;dom;119;uncommon
2;Fire Elemental;dom;120;common
1;Firefist Adept;dom;121;uncommon
2;The Flame of Keld;dom;123;uncommon
1;Ghitu Chronicler;dom;125;common
1;Ghitu Journeymage;dom;126;common
4;Ghitu Lavarunner;dom;127;common
4;Goblin Barrage;dom;128;uncommon
3;Goblin Warchief;dom;130;uncommon
1;Jaya Ballard;dom;132;mythic
2;Jaya's Immolating Inferno;dom;133;rare
2;Keldon Overseer;dom;134;common
